Participant,Add Sugar ,Add apples to pan,Add bottom crust,Add butter,Add cinnamon,Add crust top,Add water,Post last step,Pour syrup,Put pie in oven,Stir bowl,Action Count S.D
C001,12,75,2,16,26,10,3,4,2,10,11,20.96837445470505
C003,5,103,7,9,4,5,2,14,4,10,9,29.17626681833276
C006,15,83,3,9,12,4,25,8,2,11,27,23.0367295658674
C008,15,164,4,16,6,7,3,9,2,10,18,47.04350017899295
C009,11,114,5,20,4,9,2,8,3,5,17,32.35119781399137
C012,10,131,7,12,14,11,6,6,4,8,38,37.17623874563869
C013,8,160,6,20,9,4,12,18,4,7,18,45.411051918708466
C016,7,109,9,21,11,21,6,5,2,6,11,30.50067063346164
C017,11,49,6,15,2,5,1,9,2,8,62,20.441935507009294
C020,13,52,8,15,78,8,3,11,2,11,21,23.506672166932447
C021,66,20,14,17,26,6,7,8,2,21,4,17.917995017706236
C024,9,104,16,9,8,12,1,8,2,15,10,29.007835931943383
C025,5,40,2,16,41,6,2,7,2,35,3,16.1081571656328
C028,18,123,2,14,4,6,1,4,2,24,6,35.43265058209345
C029,35,59,0,6,6,0,3,31,2,0,0,19.7962347200398
C032,15,73,6,35,70,22,31,11,5,13,24,23.652022784915918
