,C001,C003,C006,C008,C009,C012,C013,C016,C017,C020,C021,C024,C025,C028,C029,C032,Mean,Median,Std Dev,IQR
newmeasuringcup,16,2,14,6,4,6,10,10,8,12,14,2,6,2,20,14,9,9,5,7
piebowl,12,16,18,16,16,30,14,20,14,10,12,30,6,16,22,42,18,16,8,6
knife,12,22,10,30,14,36,26,12,12,32,2,16,8,12,10,22,17,14,9,11
applepiecookbook,6,7,27,9,7,9,7,6,11,7,11,7,8,9,4,7,8,7,4,2
staticmeshactor,12,14,16,24,18,24,24,22,10,16,6,6,4,10,16,6,14,14,6,8
stirspoonpie,6,6,8,12,6,14,14,12,6,10,4,4,2,2,10,20,8,8,4,5
apple,65,56,37,93,73,87,88,70,69,79,55,76,66,91,31,68,69,69,16,17
cinnyshakergrabable,4,2,2,2,4,6,14,4,2,4,2,4,2,2,2,16,4,4,4,2
piepan,4,12,8,8,4,4,8,4,4,6,14,8,8,14,0,6,7,7,3,4
waterpitcher,4,2,8,6,14,4,6,6,2,10,4,2,2,8,2,22,6,6,5,4
butterholder,4,2,2,2,6,2,4,2,2,2,12,4,4,2,2,4,3,2,2,2
oven,3,4,6,3,4,4,6,4,4,8,4,3,6,6,0,6,4,4,1,2
sugarjar,2,2,4,2,4,6,6,2,4,8,16,2,2,2,12,2,4,4,3,3
butter,7,4,4,7,3,2,11,3,6,2,7,4,5,4,3,15,5,4,3,3
saucepot,2,2,8,4,12,2,4,8,2,2,6,4,10,2,2,30,6,4,6,5
pillsberrydoughgirl,1,4,1,1,1,2,1,8,1,1,5,2,1,1,0,3,2,1,1,1
pillsberrydoughboy,1,4,1,2,4,1,1,2,1,5,1,2,1,1,0,1,1,1,1,1
exit,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0
unecessarypomegranate,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
beefstewcookbook,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
unecessarylime,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0
Total Interacted Objects,161,162,175,227,196,239,244,195,159,215,177,176,142,186,136,285,198,181,88,87
