Participant,Add Beef,Add Carrot,Add Onion,Add Potato,Add Salt,Add Tomtato,Add pepper,Post last step,Pour Broth,Stir Stew,Action Count S.D
C002,57,49,31,39,8,20,4,19,3,6,19.57435964611756
C004,34,46,63,30,4,22,8,21,0,2,20.709632756012088
C005,36,31,27,0,0,27,8,88,22,5,25.98803143329209
C010,42,0,0,0,0,0,0,48,2,0,18.93145530591877
C011,98,0,57,68,0,26,0,46,22,0,34.4868735092708
C014,0,44,20,18,3,26,8,20,7,3,13.527338573750894
C015,89,72,34,56,2,35,4,18,3,15,30.626060072355948
C018,46,35,24,23,2,25,2,13,2,3,15.629388272666905
C019,29,41,81,26,2,19,4,7,5,8,24.380319932273242
C022,2,0,5,0,0,0,0,269,0,0,84.83474131117117
C023,105,80,38,29,2,26,2,8,4,2,36.080773581261006
C026,36,34,47,29,6,22,6,12,2,8,15.597720631197653
C027,43,44,22,18,4,18,2,10,2,4,15.874857829634603
C030,0,0,0,0,0,0,0,12,0,140,44.012119542992544
C031,108,41,52,33,9,20,4,6,26,4,31.941091611485877
