Participant,Block Design Raw Score,Total Actions,Total Time Spent,Total Missed Interactions,Total Object Interactions,Time Spent S.D,Action Count S.D,Total Completed Steps,Add Onion,Add Tomtato,Add Beef,Add Carrot,Add Potato,Error to Actions Ratio,Chopped,Left Hand Grab,Left Hand Released,Right Hand Grab,Right Hand Released,Left Hand Grab - Missed,Right Hand Grab - Missed,Object Count - Add Tomtato,Object Count - Add Potato,Object Count - Add Carrot,Object Count - Add Onion
C002,28,236,379.71720100000005,7.0,229,27.09226329683139,19.57435964611756,28,31,20,57,49,39,0.029661016949152543,35,0,0,112,89,0,7,20,39,47,30
C004,30,230,448.27824699999996,11.0,219,33.31935446754487,20.709632756012088,28,63,22,34,46,30,0.04782608695652174,41,65,56,41,27,7,4,20,30,40,61
C005,46,244,630.3141190000001,26.0,218,46.98987817887563,25.98803143329209,24,27,27,36,31,0,0.10655737704918032,33,27,16,106,62,10,16,24,0,31,27
C011,34,317,441.34228200000007,68.0,249,40.77888144858992,34.4868735092708,19,57,26,98,0,68,0.21451104100946372,25,55,20,133,84,30,38,25,48,0,50
C014,32,149,301.389534,13.0,136,14.37638130146138,13.527338573750894,24,20,26,0,44,18,0.087248322147651,20,13,9,72,35,2,11,26,18,43,20
C015,33,328,477.13785299999995,18.0,310,34.377667737171336,30.626060072355948,32,34,35,89,72,56,0.054878048780487805,55,24,20,135,94,4,14,35,52,67,33
C018,50,175,311.22906399999994,6.0,169,17.584073696306923,15.629388272666905,32,24,25,46,35,23,0.03428571428571429,32,25,22,56,40,1,5,24,23,34,22
C019,40,222,392.31586500000026,3.0,219,29.693535475676484,24.38031993227324,28,81,19,29,41,26,0.013513513513513514,33,0,0,101,88,0,3,19,26,41,81
C023,52,296,512.460218,7.0,289,52.26175440293908,36.080773581261006,32,38,26,105,80,29,0.02364864864864865,37,10,7,128,114,3,4,26,29,79,37
C026,33,202,392.3381779999999,1.0,201,20.106391949257635,15.597720631197651,28,47,22,36,34,29,0.0049504950495049506,33,0,0,90,79,0,1,21,29,34,47
C027,41,167,288.69035399999996,4.0,163,16.1548797613944,15.874857829634603,32,22,18,43,44,18,0.023952095808383235,33,5,5,71,53,0,4,18,18,44,22
C031,61,303,631.1122149999995,46.0,257,59.936254586973625,31.94109161148588,32,52,20,108,41,33,0.15181518151815182,55,18,1,134,95,17,29,19,32,37,42
