Participant,Add Sugar ,Add apples to pan,Add bottom crust,Add butter,Add cinnamon,Add crust top,Add water,Pour syrup,Put pie in oven,Stir bowl,Time Spent S.D
C002,173.379866,75.221955,7.308991,11.199202,12.307739,39.561127,47.492569,13.787475,32.746247,19.482819,50.34026055
C004,104.1478,31.125611,5.545456,16.904571,7.664902,14.874344,4.743866,7.531357,27.038422,20.552735,29.58716198
C005,58.434341,91.763748,5.488465,10.319671,124.043671,6.880005,6.078019,9.275421,66.836518,23.751648,42.59581989
C010,102.529976,81.036821,7.775025,9.692443,10.960815,42.111115,27.160385,15.604706,31.408905,22.089508,32.15761309
C011,17.375539,0,0,10.657751,0,0,0,0,0,0,6.118373759
C014,64.921382,108.763993,27.423675,34.033752,14.052369,8.416168,25.629615,10.375915,24.96045,10.064972,31.46662457
C015,16.443671,61.940643,6.32779,8.67883,5.207191,10.177094,11.475079,9.055191,19.269379,22.575318,16.72814635
C018,207.799388,94.714783,24.234039,13.370682,7.429077,11.315278,14.399826,11.052551,24.077973,29.645142,62.9824223
C019,22.784599,39.908981,5.387726,8.864959,82.730018,26.26271,2.545128,7.076584,21.647736,15.331482,23.81926991
C023,58.846565,68.815253,5.440948,16.853775,8.07457,10.797669,16.554764,16.185608,93.303528,22.485183,30.49492459
C026,213.494545,91.431915,10.929627,31.61348,81.213745,22.956543,13.809128,21.455872,37.341736,65.06427,61.22031415
C027,54.912584,101.18457,7.636292,18.935219,14.162125,6.231751,9.486923,8.718796,31.438873,60.32808,31.45501142
C030,116.390232,81.579192,12.008118,27.823959,5.466919,19.848755,7.664391,6.76178,25.77121,10.923676,37.35335537
C031,55.947485,47.703468,5.08879,15.932152,12.32396,17.916901,6.731544,7.766418,28.424622,19.119965,17.4182829
