Participant,Add Sugar ,Add apples to pan,Add bottom crust,Add butter,Add cinnamon,Add crust top,Add water,Pour syrup,Put pie in oven,Stir bowl,Total Completed Steps
C002,1,8,1,2,1,1,1,1,1,1,18
C004,1,8,1,2,1,1,1,1,1,1,18
C005,1,8,1,2,1,1,1,1,1,1,18
C010,1,8,1,2,1,1,1,1,1,1,18
C011,1,0,0,2,0,0,0,0,0,0,3
C014,1,16,1,2,1,1,1,1,1,1,26
C015,1,16,1,2,1,1,1,1,1,1,26
C018,1,16,1,2,1,1,1,1,1,1,26
C019,1,8,1,2,1,1,1,1,1,1,18
C023,1,16,1,2,1,1,1,1,1,1,26
C026,1,8,1,2,1,1,1,1,1,1,18
C027,1,16,1,2,1,1,1,1,1,1,26
C030,1,8,1,2,1,1,1,1,1,1,18
C031,1,16,1,2,1,1,1,1,1,1,26
