Participant,Add Beef,Add Carrot,Add Onion,Add Potato,Add Salt,Add Tomtato,Add pepper,Pour Broth,Stir Stew,Total Completed Steps
C001,4,8,4,4,1,4,1,1,1,28
C003,4,8,4,4,1,4,1,1,1,28
C006,4,8,4,4,1,4,1,1,1,28
C008,8,8,4,4,1,4,1,1,1,32
C009,8,8,0,4,1,4,1,1,1,28
C012,8,8,4,4,1,4,1,1,1,32
C013,8,8,4,4,0,4,0,1,1,30
C016,8,8,4,4,1,4,1,1,1,32
C017,4,8,4,4,1,4,1,1,1,28
C020,4,8,4,4,1,4,1,1,1,28
C021,4,8,4,4,1,4,1,1,1,28
C024,8,8,4,4,1,4,1,1,1,32
C025,4,8,4,4,1,4,1,1,1,28
C028,8,8,4,4,1,4,1,1,1,32
C029,0,1,0,0,0,0,0,0,1,2
C032,4,8,4,4,1,4,1,1,1,28
