Participant,Gender,Block Design Raw Score,Total Actions,Total Time Spent,Total Missed Interactions,Total Object Interactions,Time Spent S.D,Action Count S.D,Apple Interactions - Add Apples,Add Sugar ,Add apples to pan,Add cinnamon,Stir bowl,Put pie in oven,Add butter,Add crust top,Add water,Error to Actions Ratio,Object Count - Add sugar,Object Count - Add apples,Object Count - Add cinnamon,Object Count - Stir bowl,Object Count - Add bottom crust
C001,Female,36,171,319.556571,10,161,21.49130985,20.96837445,49,12,75,26,11,10,16,10,3,0.058479532,12,75,26,11,2
C003,Female,58,172,362.351788,10,162,35.15407049,29.17626682,56,5,103,4,9,10,9,5,2,0.058139535,5,100,2,9,7
C006,Male,42,199,570.236635,24,175,56.95073934,23.03672957,25,15,83,12,27,11,9,4,25,0.120603015,11,72,11,24,3
C008,Female,34,254,466.281171,27,227,58.6609588,47.04350018,87,15,164,6,18,10,16,7,3,0.106299213,9,153,5,16,3
C009,Female,24,198,438.425413,2,196,47.72888007,32.35119781,73,11,114,4,17,5,20,9,2,0.01010101,11,113,4,17,5
C012,Female,54,247,532.936495,8,239,53.87795893,37.17623875,83,10,131,14,38,8,12,11,6,0.032388664,7,131,14,37,7
C013,Female,48,266,580.83007,22,244,61.98267957,45.41105192,88,8,160,9,18,7,20,4,12,0.082706767,7,156,6,13,6
C016,Male,39,208,517.807503,13,195,46.61089393,30.50067063,68,7,109,11,11,6,21,21,6,0.0625,7,106,10,9,9
C017,Male,36,170,369.351203,11,159,35.59080851,20.44193551,37,11,49,2,62,8,15,5,1,0.064705882,9,48,2,59,6
C020,Female,30,222,565.967667,7,215,34.35783241,23.50667217,33,13,52,78,21,11,15,8,3,0.031531532,11,52,78,19,8
C021,Female,29,191,433.172928,14,177,53.824557,17.91799502,8,66,20,26,4,21,17,6,7,0.073298429,61,20,26,3,14
C024,Female,42,194,288.786743,18,176,28.89436617,29.00783593,71,9,104,8,10,15,9,12,1,0.092783505,5,102,7,8,16
C025,Female,24,159,359.124353,17,142,33.02045002,16.10815717,31,5,40,41,3,35,16,6,2,0.106918239,5,39,41,3,2
C028,Male,50,204,858.494425,18,186,90.97838054,35.43265058,91,18,123,4,6,24,14,6,1,0.088235294,13,120,2,5,2
C029,Male,34,142,348.855143,6,136,42.24581192,19.79623472,31,35,59,6,0,0,6,0,3,0.042253521,30,59,6,0,0
C032,Female,63,305,556.955603,20,285,29.61419357,23.65202278,36,15,73,70,24,13,35,22,31,0.06557377,13,72,66,21,6
